marca_descripcion,marca_id
IND.MAYSE,2828
INDEFINIDA,2829
INDETEL,2830
INDITEL,6129
INDUSTRIAL,2835
INDUSTRIAL GM,2836
INDUSTRIAS VAZQUEZ,6202
INDUSTRINI,2837
INESA,2838
INFOCUS,2839
INFORMAT,2840
INFRA,2841
INGE,2843
INGEBTO,2844
INGENIO,2845
INGENRO,2846
INGENTA,2847
INGENTO,2848
INGENTO 38,2849
INGERSOLL,2850
INGERSOLL RAND,2851
INGETA,2852
INGINTO,2853
INGRESOLL RAND,2854
INGUS,2855
INGUSA,2856
INISA,2857
INOXMAID,2860
INPASA,2861
INPOCUS,2862
INSA,2863
INSEC,2864
INSTAMATIC,2865
INSTAR,2866
INSTRUMENT,2867
INSTRUMENTS,2868
INT,2869
